nome,sexo,instituicao,uf,nivel_bolsa,area_atuacao,ano_conclusao_doutorado,url,google_scholar,vigencia_inicio,vigencia_termino,situacao
Abilio Pereira de Lucena Filho,Masculino,UFRJ,RJ,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Abilio+Pereira+de+Lucena+Filho,,01/08/2025,31/07/2028,Em folha de pagamento
Adenilso da Silva Simão,Indefinido,USP,SP,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Adenilso+da+Silva+Simão,,01/08/2025,31/07/2028,Em folha de pagamento
Adenilton José da Silva,Indefinido,UFPE,PE,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Adenilton+José+da+Silva,,01/08/2025,31/07/2028,Em folha de pagamento
Adiel Teixeira de Almeida Filho,Indefinido,UFPE,PE,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Adiel+Teixeira+de+Almeida+Filho,,01/03/2024,31/07/2027,Em folha de pagamento
Adriana Santarosa Vivacqua,Feminino,UFRJ,RJ,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Adriana+Santarosa+Vivacqua,,01/08/2025,31/07/2028,Em folha de pagamento
Adriano Alonso Veloso,Masculino,UFMG,MG,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Adriano+Alonso+Veloso,,01/03/2024,31/07/2027,Em folha de pagamento
Adriano Lorena Inacio de Oliveira,Masculino,UFPE,PE,PQ-1D,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Adriano+Lorena+Inacio+de+Oliveira,,01/03/2022,31/07/2026,Em folha de pagamento
Afonso Paiva Neto,Masculino,USP,SP,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Afonso+Paiva+Neto,,01/03/2024,31/07/2027,Em folha de pagamento
Agma Juci Machado Traina,Indefinido,USP,SP,PQ-1B,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Agma+Juci+Machado+Traina,,01/03/2022,31/07/2026,Em folha de pagamento
Ajalmar Rêgo da Rocha Neto,Indefinido,IFCE,CE,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Ajalmar+Rêgo+da+Rocha+Neto,,01/03/2024,31/07/2027,Em folha de pagamento
Alba Cristina Magalhães Alves de Melo,Feminino,UnB,DF,PQ-1C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alba+Cristina+Magalhães+Alves+de+Melo,,01/03/2023,31/07/2029,Em folha de pagamento
Alberto Egon Schaeffer Filho,Masculino,UFRGS,RS,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alberto+Egon+Schaeffer+Filho,,01/08/2025,31/07/2028,Em folha de pagamento
Alberto Ferreira De Souza,Masculino,UFES,ES,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alberto+Ferreira+De+Souza,,01/03/2023,31/07/2026,Em folha de pagamento
Alberto Henrique Frade Laender,Masculino,UFMG,MG,PQ-A,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alberto+Henrique+Frade+Laender,,01/08/2025,31/07/2030,Em folha de pagamento
Alceu de Souza Britto Jr,Masculino,PUC/PR,PR,PQ-1D,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alceu+de+Souza+Britto+Jr,,01/03/2023,31/07/2027,Em folha de pagamento
Aldo von Wangenheim,Masculino,UFSC,SE,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Aldo+von+Wangenheim,,01/03/2023,31/07/2026,Em folha de pagamento
Aldri Luiz dos Santos,Indefinido,UFMG,MG,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Aldri+Luiz+dos+Santos,,01/03/2024,31/07/2027,Em folha de pagamento
Alessandro Fabricio Garcia,Masculino,PUC-Rio,RJ,PQ-A,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alessandro+Fabricio+Garcia,,01/08/2025,31/07/2030,Em folha de pagamento
Aletéia Patrícia Favacho de Araújo von Paumgartten,Indefinido,UnB,DF,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Aletéia+Patrícia+Favacho+de+Araújo+von+Paumgartten,,01/08/2025,31/07/2028,Em folha de pagamento
Alex Borges Vieira,Masculino,UFJF,MG,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alex+Borges+Vieira,,01/08/2025,31/07/2028,Em folha de pagamento
Alexandre Cabral Mota,Masculino,UFPE,PE,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alexandre+Cabral+Mota,,01/08/2025,31/07/2028,Em folha de pagamento
Alexandre Luís Magalhães Levada,Masculino,UFSCAR,SE,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alexandre+Luís+Magalhães+Levada,,01/08/2025,31/07/2028,Em folha de pagamento
Alexandre Plastino de Carvalho,Masculino,UFF,RJ,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alexandre+Plastino+de+Carvalho,,01/08/2025,31/07/2028,Em folha de pagamento
Alexandre Salles da Cunha,Masculino,UFMG,MG,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alexandre+Salles+da+Cunha,,01/08/2025,31/07/2028,Em folha de pagamento
Alexandre Xavier Falcão,Masculino,UNICAMP,SP,PQ-1A,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alexandre+Xavier+Falcão,,01/03/2024,31/07/2029,Em folha de pagamento
Alexandro José Baldassin,Masculino,UNESP,SP,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alexandro+José+Baldassin,,01/03/2023,31/07/2026,Em folha de pagamento
Alfredo Goldman vel Lejbman,Masculino,USP,SP,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alfredo+Goldman+vel+Lejbman,,01/03/2023,31/07/2026,Em folha de pagamento
Aline Marins Paes Carvalho,Feminino,UFF,RJ,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Aline+Marins+Paes+Carvalho,,01/03/2024,31/07/2027,Em folha de pagamento
Alisson Marques da Silva,Feminino,CEFET/MG,MG,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alisson+Marques+da+Silva,,01/08/2025,31/07/2028,Em folha de pagamento
Alisson Vasconcelos de Brito,Feminino,UFPB,PB,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alisson+Vasconcelos+de+Brito,,01/08/2025,31/07/2028,Em folha de pagamento
Alneu de Andrade Lopes,Indefinido,USP,SP,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Alneu+de+Andrade+Lopes,,01/03/2023,31/07/2026,Em folha de pagamento
Altigran Soares da Silva,Indefinido,UFAM,AM,PQ-A,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Altigran+Soares+da+Silva,,01/08/2025,31/07/2030,Em folha de pagamento
Aluizio Fausto Ribeiro Araújo,Indefinido,UFPE,PE,PQ-1C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Aluizio+Fausto+Ribeiro+Araújo,,01/03/2023,31/07/2027,Em folha de pagamento
Amauri Holanda de Souza Júnior,Indefinido,IFCE,CE,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Amauri+Holanda+de+Souza+Júnior,,01/08/2025,31/07/2028,Em folha de pagamento
Ana Carolina Lorena,Feminino,ITA,SP,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Ana+Carolina+Lorena,,01/03/2024,31/07/2027,Em folha de pagamento
Ana Cristina Bicharra Garcia,Feminino,UNIRIO,RJ,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Ana+Cristina+Bicharra+Garcia,,01/08/2025,31/07/2028,Em folha de pagamento
Ana Lucia Cetertich Bazzan,Feminino,UFRGS,RS,PQ-1C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Ana+Lucia+Cetertich+Bazzan,,01/03/2022,31/07/2026,Em folha de pagamento
Ana Paula Couto da Silva,Feminino,UFMG,MG,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Ana+Paula+Couto+da+Silva,,01/03/2024,31/07/2027,Em folha de pagamento
Ana Shirley Ferreira da Silva,Feminino,UFC,CE,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Ana+Shirley+Ferreira+da+Silva,,01/03/2024,31/07/2027,Em folha de pagamento
